AAPL,Apple Inc.,163.29,-1.48,-0.90%,100.447M,81.512M,2.679T
F,Ford Motor Company,19.91,+0.33,+1.66%,71.606M,86.764M,79.545B
LCID,"Lucid Group, Inc.",47.27,-3.87,-7.57%,63.852M,68.222M,77.824B
NIO,NIO Inc.,35.72,-2.59,-6.77%,63.747M,37.578M,56.812B
CCL,Carnival Corporation & plc,17.85,+1.47,+8.97%,57.03M,33.359M,20.809B
T,AT&T Inc.,23.20,+0.97,+4.37%,49.776M,43.738M,165.683B
AMC,"AMC Entertainment Holdings, Inc.",29.92,+1.35,+4.73%,46.806M,46.056M,15.359B
ITUB,Itaú Unibanco Holding S.A.,4.0200,+0.1800,+4.69%,45.357M,39.47M,39.315B
AMD,"Advanced Micro Devices, Inc.",150.35,+1.24,+0.83%,44.488M,50.904M,181.564B
RLX,RLX Technology Inc.,4.3150,+0.2050,+4.99%,43.953M,12.206M,6.778B
AAL,American Airlines Group Inc.,17.30,+1.01,+6.23%,43.168M,32.501M,11.199B
BBD,Banco Bradesco S.A.,3.6400,+0.1834,+5.31%,39.437M,37.119M,35.27B
BAC,Bank of America Corporation,45.26,+1.63,+3.74%,36.788M,45.138M,370.411B
PLTR,Palantir Technologies Inc.,19.39,+0.01,+0.05%,36.076M,45.004M,38.873B
PBR,Petróleo Brasileiro S.A. - Petrobras,10.32,+0.85,+9.01%,35.337M,28.817M,67.308B
NVDA,NVIDIA Corporation,321.78,+7.43,+2.36%,33.921M,33.667M,801.876B
VALE,Vale S.A.,12.91,+0.66,+5.39%,30.407M,37.573M,65.668B
NCLH,Norwegian Cruise Line Holdings Ltd.,18.89,+1.10,+6.18%,29.494M,16.082M,7.875B
NOK,Nokia Corporation,5.77,+0.21,+3.78%,27.363M,19.664M,33.827B
PFE,Pfizer Inc.,53.47,-1.21,-2.21%,27.069M,32.693M,300.12B
DAL,"Delta Air Lines, Inc.",36.49,+2.96,+8.83%,26M,12.344M,23.354B
BABA,Alibaba Group Holding Limited,120.45,-2.04,-1.67%,23.08M,21.951M,343.772B
UBER,"Uber Technologies, Inc.",37.97,+1.95,+5.41%,22.375M,26.581M,73.666B
DKNG,DraftKings Inc.,31.31,+0.07,+0.22%,22.23M,13.958M,12.726B
VIAC,ViacomCBS Inc.,29.30,-0.40,-1.35%,22.027M,10.348M,19.066B
